Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,Mossbauer Internal
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,704
Lower Discriminator:,562
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,January 17, 2019, 03:13:12
End Time:,January 17, 2019, 05:38:21
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,9912
1,,10169
2,,9864
3,,9964
4,,9775
5,,9943
6,,10001
7,,9932
8,,9863
9,,9757
10,,9732
11,,9865
12,,9887
13,,9998
14,,9705
15,,9713
16,,9826
17,,9772
18,,9936
19,,9864
20,,9969
21,,9701
22,,9909
23,,9964
24,,9669
25,,9790
26,,10008
27,,9828
28,,9740
29,,9883
30,,9856
31,,9793
32,,9910
33,,9873
34,,10073
35,,9673
36,,9901
37,,9922
38,,9988
39,,9736
40,,9733
41,,10063
42,,9910
43,,10027
44,,9731
45,,9897
46,,9744
47,,9685
48,,9861
49,,9810
50,,9940
51,,9864
52,,9863
53,,9799
54,,10066
55,,10050
56,,9800
57,,9693
58,,9951
59,,9906
60,,9731
61,,9816
62,,9696
63,,9720
64,,9746
65,,9810
66,,10036
67,,9782
68,,10003
69,,9748
70,,9738
71,,9952
72,,9727
73,,10012
74,,9938
75,,9981
76,,9876
77,,9820
78,,9796
79,,9813
80,,9799
81,,9853
82,,9867
83,,9695
84,,9784
85,,9862
86,,9869
87,,9605
88,,9637
89,,10013
90,,9688
91,,9720
92,,9828
93,,9730
94,,9612
95,,9498
96,,9651
97,,9946
98,,9725
99,,9618
100,,9505
101,,9547
102,,9533
103,,9266
104,,9318
105,,9141
106,,8668
107,,8461
108,,8265
109,,8314
110,,8303
111,,8679
112,,8781
113,,8923
114,,9309
115,,9408
116,,9287
117,,9618
118,,9603
119,,9780
120,,9634
121,,9642
122,,9767
123,,9781
124,,9632
125,,9651
126,,9661
127,,9898
128,,9943
129,,9771
130,,9795
131,,9864
132,,9728
133,,9876
134,,9888
135,,9527
136,,9939
137,,9851
138,,9754
139,,9900
140,,9724
141,,9734
142,,9898
143,,9863
144,,9899
145,,9848
146,,9742
147,,9839
148,,10020
149,,9814
150,,9679
151,,9805
152,,9692
153,,9665
154,,9662
155,,9446
156,,9571
157,,9629
158,,9577
159,,9094
160,,9215
161,,8884
162,,8814
163,,8581
164,,8482
165,,8630
166,,9012
167,,8943
168,,9268
169,,9585
170,,9590
171,,9481
172,,9587
173,,9669
174,,9655
175,,9816
176,,9719
177,,9868
178,,9845
179,,10042
180,,9864
181,,9762
182,,9723
183,,9817
184,,9729
185,,9795
186,,9766
187,,9886
188,,9977
189,,9927
190,,9790
191,,9938
192,,10032
193,,9735
194,,9640
195,,9969
196,,9943
197,,9793
198,,9791
199,,9775
200,,9711
201,,9869
202,,9824
203,,9998
204,,9893
205,,9817
206,,9820
207,,9924
208,,9903
209,,9789
210,,9775
211,,9723
212,,9626
213,,9771
214,,9619
215,,9471
216,,9180
217,,9093
218,,9061
219,,8918
220,,9265
221,,9269
222,,9606
223,,9483
224,,9620
225,,9878
226,,9571
227,,9829
228,,9763
229,,9659
230,,9793
231,,9788
232,,9785
233,,9801
234,,9548
235,,9826
236,,9944
237,,9954
238,,9786
239,,9837
240,,9940
241,,9959
242,,9977
243,,9993
244,,10060
245,,9655
246,,9891
247,,9554
248,,9950
249,,9966
250,,9677
251,,9843
252,,9825
253,,9692
254,,9693
255,,9435
256,,9391
257,,9340
258,,9040
259,,8957
260,,9146
261,,9209
262,,9258
263,,9532
264,,9429
265,,9576
266,,9688
267,,9755
268,,9654
269,,9808
270,,9810
271,,9787
272,,9870
273,,9769
274,,9988
275,,9987
276,,9765
277,,9785
278,,9728
279,,9642
280,,9910
281,,9983
282,,10083
283,,9668
284,,9781
285,,9892
286,,9861
287,,9743
288,,9921
289,,9745
290,,9706
291,,9837
292,,9762
293,,9922
294,,9807
295,,9864
296,,9851
297,,9968
298,,9840
299,,9667
300,,9904
301,,9798
302,,9437
303,,9708
304,,9662
305,,9660
306,,9591
307,,9322
308,,9593
309,,9605
310,,9332
311,,9169
312,,9087
313,,8697
314,,8500
315,,8701
316,,8751
317,,9120
318,,9289
319,,9497
320,,9490
321,,9567
322,,9510
323,,9880
324,,9744
325,,9881
326,,9773
327,,9740
328,,9805
329,,9872
330,,9740
331,,9723
332,,9844
333,,9945
334,,9746
335,,9936
336,,9670
337,,9792
338,,9941
339,,9983
340,,9860
341,,9909
342,,9746
343,,9749
344,,9774
345,,9786
346,,9769
347,,9873
348,,9942
349,,9849
350,,9811
351,,9709
352,,9822
353,,9721
354,,9873
355,,9726
356,,9629
357,,9530
358,,9553
359,,9706
360,,9560
361,,9459
362,,9344
363,,9296
364,,9190
365,,9019
366,,8819
367,,8607
368,,8314
369,,8184
370,,8225
371,,8608
372,,8886
373,,9140
374,,9350
375,,9502
376,,9548
377,,9531
378,,9535
379,,9711
380,,9527
381,,9785
382,,9888
383,,9664
384,,9710
385,,9965
386,,9808
387,,9733
388,,9875
389,,9852
390,,9861
391,,9887
392,,9880
393,,9851
394,,9712
395,,9809
396,,9924
397,,9782
398,,9839
399,,9889
400,,9805
401,,9736
402,,9798
403,,10019
404,,9948
405,,9805
406,,9724
407,,9827
408,,9829
409,,9867
410,,9693
411,,9884
412,,10068
413,,9833
414,,9809
415,,9944
416,,9873
417,,9737
418,,9828
419,,9900
420,,9873
421,,9907
422,,9951
423,,9972
424,,9986
425,,10009
426,,9915
427,,9877
428,,9948
429,,9883
430,,9745
431,,9892
432,,9858
433,,9921
434,,9817
435,,9576
436,,9897
437,,9729
438,,9944
439,,9734
440,,9869
441,,9885
442,,9849
443,,9893
444,,9924
445,,9891
446,,9750
447,,9796
448,,9835
449,,9806
450,,9723
451,,9992
452,,9869
453,,9979
454,,9991
455,,9777
456,,9857
457,,9927
458,,9888
459,,9780
460,,9743
461,,9861
462,,9795
463,,9782
464,,9946
465,,9810
466,,9757
467,,9831
468,,9848
469,,10025
470,,9785
471,,9779
472,,9802
473,,9969
474,,9892
475,,9983
476,,9673
477,,9844
478,,9801
479,,9788
480,,9761
481,,9985
482,,9779
483,,9807
484,,9853
485,,9632
486,,9754
487,,9832
488,,9915
489,,9900
490,,9833
491,,9837
492,,9963
493,,9855
494,,9775
495,,9850
496,,9962
497,,9826
498,,9902
499,,9598
500,,9676
501,,9957
502,,9999
503,,9830
504,,9513
505,,9743
506,,9826
507,,9858
508,,9862
509,,9888
510,,9935
511,,9820
512,,9887
513,,9921
514,,9996
515,,9893
516,,9801
517,,10046
518,,9897
519,,9984
520,,9811
521,,9838
522,,9860
523,,9978
524,,9745
525,,9725
526,,9800
527,,9691
528,,9849
529,,9717
530,,9853
531,,9840
532,,9842
533,,9814
534,,9959
535,,9867
536,,9791
537,,9764
538,,9955
539,,9924
540,,9761
541,,9706
542,,9888
543,,9779
544,,9816
545,,9773
546,,9849
547,,9929
548,,9690
549,,9682
550,,9854
551,,9682
552,,10017
553,,9755
554,,9758
555,,9875
556,,9756
557,,9716
558,,9903
559,,9568
560,,9727
561,,9785
562,,9865
563,,9682
564,,9994
565,,9920
