Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,1048
Lower Discriminator:,50
Calibration Coefficients:Elapsed Real Time:,45.21
Elapsed Live Time:,29.66
Start Time:,January 15, 2019, 02:45:42
End Time:,January 15, 2019, 02:46:27
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,2
17,,13
18,,26
19,,26
20,,20
21,,14
22,,10
23,,16
24,,6
25,,9
26,,8
27,,9
28,,10
29,,16
30,,8
31,,9
32,,11
33,,15
34,,9
35,,15
36,,19
37,,9
38,,21
39,,28
40,,42
41,,90
42,,260
43,,949
44,,1529
45,,1555
46,,1577
47,,1569
48,,1644
49,,1614
50,,1723
51,,1742
52,,1822
53,,1907
54,,1933
55,,1922
56,,1983
57,,2113
58,,2081
59,,2155
60,,2193
61,,2195
62,,2238
63,,2290
64,,2389
65,,2266
66,,2260
67,,2345
68,,2354
69,,2213
70,,2334
71,,2306
72,,2329
73,,2304
74,,2295
75,,2219
76,,2141
77,,2070
78,,1996
79,,1931
80,,1946
81,,1927
82,,1780
83,,1756
84,,1609
85,,1561
86,,1520
87,,1467
88,,1357
89,,1370
90,,1284
91,,1176
92,,1175
93,,1123
94,,1077
95,,1011
96,,943
97,,890
98,,913
99,,811
100,,759
101,,793
102,,721
103,,789
104,,656
105,,703
106,,625
107,,637
108,,596
109,,594
110,,588
111,,544
112,,606
113,,546
114,,547
115,,520
116,,498
117,,521
118,,523
119,,553
120,,518
121,,506
122,,537
123,,499
124,,553
125,,551
126,,558
127,,499
128,,503
129,,508
130,,540
131,,484
132,,527
133,,528
134,,540
135,,500
136,,507
137,,535
138,,546
139,,574
140,,542
141,,535
142,,541
143,,493
144,,561
145,,545
146,,549
147,,507
148,,545
149,,503
150,,566
151,,541
152,,555
153,,575
154,,574
155,,570
156,,588
157,,519
158,,563
159,,579
160,,555
161,,625
162,,524
163,,579
164,,610
165,,609
166,,587
167,,557
168,,583
169,,568
170,,591
171,,598
172,,573
173,,599
174,,631
175,,605
176,,601
177,,663
178,,623
179,,615
180,,638
181,,691
182,,713
183,,617
184,,668
185,,664
186,,670
187,,710
188,,685
189,,651
190,,734
191,,755
192,,750
193,,683
194,,754
195,,710
196,,796
197,,792
198,,804
199,,806
200,,821
201,,809
202,,856
203,,883
204,,840
205,,877
206,,932
207,,914
208,,982
209,,917
210,,993
211,,974
212,,944
213,,1015
214,,995
215,,1033
216,,1003
217,,1104
218,,1166
219,,1194
220,,1244
221,,1223
222,,1253
223,,1294
224,,1332
225,,1378
226,,1372
227,,1490
228,,1461
229,,1508
230,,1727
231,,1567
232,,1811
233,,1738
234,,1879
235,,1998
236,,1982
237,,2039
238,,2140
239,,2188
240,,2238
241,,2482
242,,2463
243,,2634
244,,2706
245,,2741
246,,2838
247,,3012
248,,3076
249,,3162
250,,3241
251,,3439
252,,3464
253,,3549
254,,3706
255,,3828
256,,3933
257,,4142
258,,4140
259,,4295
260,,4589
261,,4360
262,,4732
263,,4757
264,,4960
265,,5034
266,,5243
267,,5312
268,,5335
269,,5487
270,,5621
271,,5734
272,,5746
273,,5768
274,,5949
275,,6062
276,,5967
277,,6084
278,,6039
279,,6200
280,,6148
281,,6154
282,,6187
283,,6355
284,,6276
285,,6229
286,,6163
287,,6236
288,,6279
289,,6156
290,,6129
291,,6111
292,,5858
293,,5928
294,,5907
295,,5755
296,,5624
297,,5716
298,,5638
299,,5608
300,,5302
301,,5188
302,,5199
303,,4988
304,,4914
305,,4795
306,,4756
307,,4580
308,,4344
309,,4299
310,,4152
311,,3915
312,,3883
313,,3800
314,,3726
315,,3533
316,,3372
317,,3367
318,,3334
319,,3130
320,,3004
321,,2930
322,,2770
323,,2753
324,,2567
325,,2502
326,,2400
327,,2272
328,,2304
329,,2190
330,,2074
331,,1932
332,,1857
333,,1850
334,,1735
335,,1708
336,,1633
337,,1545
338,,1504
339,,1450
340,,1390
