Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,771
Lower Discriminator:,529
Calibration Coefficients:Elapsed Real Time:,219.71
Elapsed Live Time:,172.45
Start Time:,January 15, 2019, 02:54:26
End Time:,January 15, 2019, 02:58:06
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,1
15,,0
16,,11
17,,148
18,,220
19,,187
20,,134
21,,87
22,,80
23,,66
24,,56
25,,75
26,,76
27,,74
28,,58
29,,57
30,,48
31,,38
32,,48
33,,30
34,,36
35,,31
36,,32
37,,32
38,,29
39,,77
40,,57
41,,101
42,,310
43,,2961
44,,4365
45,,4330
46,,4152
47,,4033
48,,4004
49,,4047
50,,3996
51,,4164
52,,4296
53,,4357
54,,4504
55,,4696
56,,4698
57,,4804
58,,4949
59,,5189
60,,5530
61,,5491
62,,5564
63,,5636
64,,5853
65,,5936
66,,6011
67,,6131
68,,6159
69,,6205
70,,6198
71,,6194
72,,6228
73,,6155
74,,6254
75,,6133
76,,5992
77,,6082
78,,5989
79,,5819
80,,5741
81,,5617
82,,5373
83,,5382
84,,5180
85,,4867
86,,4883
87,,4674
88,,4527
89,,4351
90,,4120
91,,4107
92,,3719
93,,3627
94,,3503
95,,3410
96,,3316
97,,3134
98,,2871
99,,2986
100,,2760
101,,2669
102,,2459
103,,2516
104,,2266
105,,2187
106,,2208
107,,1984
108,,2007
109,,1946
110,,1866
111,,1797
112,,1753
113,,1759
114,,1680
115,,1734
116,,1598
117,,1582
118,,1572
119,,1550
120,,1550
121,,1539
122,,1476
123,,1523
124,,1482
125,,1484
126,,1454
127,,1442
128,,1528
129,,1492
130,,1393
131,,1475
132,,1348
133,,1411
134,,1305
135,,1347
136,,1430
137,,1414
138,,1381
139,,1434
140,,1418
141,,1350
142,,1380
143,,1322
144,,1324
145,,1309
146,,1348
147,,1312
148,,1293
149,,1336
150,,1345
151,,1306
152,,1336
153,,1359
154,,1247
155,,1321
156,,1364
157,,1308
158,,1306
159,,1265
160,,1333
161,,1275
162,,1303
163,,1289
164,,1253
165,,1220
166,,1296
167,,1210
168,,1263
169,,1287
170,,1274
171,,1266
172,,1298
173,,1242
174,,1294
175,,1216
176,,1225
177,,1268
178,,1232
179,,1252
180,,1291
181,,1221
182,,1283
183,,1199
184,,1238
185,,1178
186,,1268
187,,1256
188,,1181
189,,1261
190,,1247
191,,1202
192,,1201
193,,1213
194,,1215
195,,1202
196,,1178
197,,1143
198,,1197
199,,1214
200,,1189
201,,1213
202,,1219
203,,1189
204,,1150
205,,1241
206,,1198
207,,1196
208,,1107
209,,1203
210,,1117
211,,1087
212,,1191
213,,1166
214,,1199
215,,1214
216,,1183
217,,1184
218,,1173
219,,1220
220,,1152
221,,1217
222,,1274
223,,1218
224,,1150
225,,1148
226,,1231
227,,1193
228,,1233
229,,1153
230,,1171
231,,1192
232,,1192
233,,1217
234,,1141
235,,1117
236,,1175
237,,1207
238,,1165
239,,1140
240,,1174
241,,1177
242,,1219
243,,1158
244,,1217
245,,1224
246,,1139
247,,1222
248,,1146
249,,1227
250,,1133
251,,1212
252,,1131
253,,1141
254,,1220
255,,1187
256,,1206
257,,1212
258,,1207
259,,1228
260,,1218
261,,1146
262,,1155
263,,1210
264,,1247
265,,1198
266,,1193
267,,1167
268,,1190
269,,1183
270,,1240
271,,1164
272,,1174
273,,1214
274,,1265
275,,1233
276,,1214
277,,1311
278,,1231
279,,1200
280,,1191
281,,1213
282,,1186
283,,1219
284,,1232
285,,1218
286,,1211
287,,1254
288,,1143
289,,1244
290,,1196
291,,1138
292,,1203
293,,1204
294,,1108
295,,1285
296,,1187
297,,1153
298,,1240
299,,1220
300,,1282
301,,1226
302,,1205
303,,1312
304,,1193
305,,1182
306,,1307
307,,1302
308,,1247
309,,1205
310,,1296
311,,1270
312,,1212
313,,1272
314,,1290
315,,1324
316,,1247
317,,1280
318,,1279
319,,1327
320,,1334
